Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","9.34","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","2.66","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","12.22","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","17.8","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","5.89","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1961","1961","kg/ha","0.01","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1962","1962","kg/ha","0.01","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1963","1963","kg/ha","0.01","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1964","1964","kg/ha","0.01","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1965","1965","kg/ha","0.01","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1966","1966","kg/ha","0.06","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1967","1967","kg/ha","0.13","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1968","1968","kg/ha","0.13","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1969","1969","kg/ha","0.25","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1970","1970","kg/ha","0.42","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1971","1971","kg/ha","0.71","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1972","1972","kg/ha","1.63","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1973","1973","kg/ha","0.86","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1974","1974","kg/ha","1.19","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1975","1975","kg/ha","1.08","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1976","1976","kg/ha","1.69","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1977","1977","kg/ha","2.14","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1978","1978","kg/ha","2.25","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1979","1979","kg/ha","2.04","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1980","1980","kg/ha","1.61","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1981","1981","kg/ha","2.09","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1982","1982","kg/ha","1.73","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1983","1983","kg/ha","2.46","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/ha","2.46","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1985","1985","kg/ha","2.46","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1986","1986","kg/ha","2.06","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1987","1987","kg/ha","3.26","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1988","1988","kg/ha","0.73","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1989","1989","kg/ha","0.7","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1990","1990","kg/ha","0.05","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1991","1991","kg/ha","0.72","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1992","1992","kg/ha","0.86","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1998","1998","kg/ha","0.13","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2002","2002","kg/ha","0","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2003","2003","kg/ha","0.84","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2004","2004","kg/ha","1.36","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2005","2005","kg/ha","1.16","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2006","2006","kg/ha","0.56","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2007","2007","kg/ha","0","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2008","2008","kg/ha","0","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2009","2009","kg/ha","0.07","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2010","2010","kg/ha","0.12","Fc","Calculated data"
"EF","Fertilizers indicators","2","Afghanistan","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2011","2011","kg/ha","0.87","Fc","Calculated data"
