Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1984","1984","kg/ha","6.63","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1985","1985","kg/ha","6.67","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1986","1986","kg/ha","6.01","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1987","1987","kg/ha","5.88","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1988","1988","kg/ha","5.82","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1989","1989","kg/ha","5.41","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1990","1990","kg/ha","5.28","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1991","1991","kg/ha","5.04","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1992","1992","kg/ha","4.8","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1993","1993","kg/ha","5.18","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1994","1994","kg/ha","4.53","Fc","Calculated data"
"EF","Fertilizers indicators","5100","Africa","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","1995","1995","kg/ha","4.33","Fc","Calculated data"
