Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2017","2017","kg/ha","31.54","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3103","Nutrient phosphate P2O5 (total)","2018","2018","kg/ha","30.5","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1961","1961","kg/ha","3.29","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1962","1962","kg/ha","2.41","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1963","1963","kg/ha","3.87","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1964","1964","kg/ha","3.69","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1965","1965","kg/ha","3.58","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1966","1966","kg/ha","3.58","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1967","1967","kg/ha","3.79","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1968","1968","kg/ha","3.54","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1969","1969","kg/ha","3.8","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1970","1970","kg/ha","4.87","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1971","1971","kg/ha","4.91","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1972","1972","kg/ha","5.72","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1973","1973","kg/ha","7.55","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1974","1974","kg/ha","8.4","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1975","1975","kg/ha","5.3","Fc","Calculated data"
"EF","Fertilizers indicators","10","Australia","5159","Use per area of cropland","3104","Nutrient potash K2O (total)","1976","1976","kg/ha","6.81","Fc","Calculated data"
